Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;PARIS EST;87113001;CHARLEVILLE MEZIERES;87172007;2;Tarif Normal;15;48
TGV INOUI;NANCY;87141002;REMIREMONT;87144451;2;Tarif Normal;9;21
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;15;45
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BAYONNE;87673004;1;Tarif Normal;31;199
TGV INOUI;NIMES;87775007;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;114
TGV INOUI;RETHEL;87172270;PARIS EST;87113001;2;Tarif Normal;15;44
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;NANCY;87141002;2;Tarif Normal;20;42
TGV INOUI;AVIGNON TGV;87318964;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;187
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BAYONNE;87673004;2;Tarif Normal;25;123
TGV INOUI;BEZIERS;87781005;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;116
TGV INOUI;VITRY LE FRANCOIS GARE;87174276;PARIS EST;87113001;1;Tarif Normal;17;74
TGV INOUI;MULHOUSE VILLE;87182063;NANCY;87141002;1;Tarif Normal;14;50
TGV INOUI;MASSY TGV;87393702;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;55
TGV INOUI;DAX;87673202;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;122
TGV INOUI;PARIS EST;87113001;TOUL;87141044;1;Tarif Normal;35;127
TGV INOUI;VITRY LE FRANCOIS GARE;87174276;PARIS EST;87113001;2;Tarif Normal;15;44
TGV INOUI;STRASBOURG;87212027;NANCY;87141002;1;Tarif Normal;14;50
TGV INOUI;MASSY TGV;87393702;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;35
TGV INOUI;BIARRITZ;87673400;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;199
TGV INOUI;EPINAL;87144006;PARIS EST;87113001;1;Tarif Normal;29;142
TGV INOUI;PARIS EST;87113001;BAR LE DUC;87175042;1;Tarif Normal;17;79
TGV INOUI;STRASBOURG;87212027;NANCY;87141002;2;Tarif Normal;12;27
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;LISIEUX;87444265;2;Tarif Normal;15;51
TGV INOUI;BIARRITZ;87673400;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;123
TGV INOUI;PARIS EST;87113001;REMIREMONT;87144451;1;Tarif Normal;29;147
TGV INOUI;PARIS EST;87113001;BAR LE DUC;87175042;2;Tarif Normal;15;44
TGV INOUI;NANCY;87141002;SELESTAT;87214056;2;Tarif Normal;12;27
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;QUIMPER;87474098;2;Tarif Normal;20;103
